colony,focal_AntID,tagID,position,time_start,time_stop,exclude
c02,011,466,p2,2022-03-10T10:20:22.498071908Z,2022-03-10T10:21:51.165157848Z,0
c02,011,466,p2,2022-03-10T10:47:25.507211936Z,2022-03-10T10:48:40.174288349Z,0
c02,012,617,p2,2022-03-10T10:08:13.161050714Z,2022-03-10T10:08:49.661266312Z,0
c02,012,617,p2,2022-03-10T10:38:14.170518731Z,2022-03-10T10:41:08.004902128Z,0
c02,012,617,p2,2022-03-10T10:51:59.675450845Z,2022-03-10T10:53:26.509256109Z,0
c02,013,619,p2,2022-03-10T10:08:12.994871086Z,2022-03-10T10:08:20.161146300Z,0
c02,013,619,p2,2022-03-10T10:08:28.827825532Z,2022-03-10T10:09:36.494796274Z,0
c02,013,619,p2,2022-03-10T10:26:59.500161900Z,2022-03-10T10:28:43.000705669Z,0
c02,014,745,p1,2022-03-10T10:07:59.161033226Z,2022-03-10T10:09:42.161472502Z,0
c02,014,745,p1,2022-03-10T10:39:52.837848048Z,2022-03-10T10:40:41.338134423Z,0
c02,015,751,p2,2022-03-10T10:08:46.661135663Z,2022-03-10T10:09:50.161550952Z,0
c02,016,79c,p2,2022-03-10T10:14:22.996268842Z,2022-03-10T10:14:40.829671891Z,0
c02,016,79c,p2,2022-03-10T10:26:48.500113618Z,2022-03-10T10:28:48.000738867Z,0
c02,016,79c,p2,2022-03-10T10:49:43.174650647Z,2022-03-10T10:50:12.508078454Z,0
c02,017,80e,p1,2022-03-10T10:08:00.161024616Z,2022-03-10T10:09:41.828134097Z,0
c02,018,81d,p2,2022-03-10T10:30:34.667939523Z,2022-03-10T10:30:42.501325632Z,0
c02,018,81d,p2,2022-03-10T10:44:22.006118980Z,2022-03-10T10:44:45.506200259Z,0
c03,001,035,p2,NA,NA,0
c03,002,0ce,p1,2022-03-11T10:18:22.733208202Z,2022-03-11T10:20:33.567161376Z,0
c03,002,0ce,p1,2022-03-11T10:21:12.400759633Z,2022-03-11T10:21:52.067619167Z,0
c03,002,0ce,p1,2022-03-11T10:25:28.402090592Z,2022-03-11T10:29:51.236819148Z,0
c03,003,0e7,p2,2022-03-11T10:13:33.731657348Z,2022-03-11T10:18:37.733285714Z,0
c03,004,151,p1,2022-03-11T10:08:20.730058790Z,2022-03-11T10:09:35.230385246Z,0
c03,005,187,p1,2022-03-11T10:19:57.067495525Z,2022-03-11T10:21:00.067349227Z,0
c03,005,187,p1,2022-03-11T10:22:18.401105162Z,2022-03-11T10:23:30.734820584Z,0
c03,005,187,p1,2022-03-11T10:28:19.070065238Z,2022-03-11T10:29:09.903241032Z,0
c03,006,1c5,p2,2022-03-11T10:09:07.730300757Z,2022-03-11T10:11:52.897780933Z,0
c03,007,2ca,p1,2022-03-11T10:27:57.569551817Z,2022-03-11T10:30:13.070242965Z,0
c03,007,2ca,p1,2022-03-11T10:32:32.904324753Z,2022-03-11T10:34:10.238113763Z,0
c03,007,2ca,p1,2022-03-11T10:37:06.905778681Z,2022-03-11T10:38:42.573300781Z,0
c03,008,352,p2,2022-03-11T10:24:22.735083405Z,2022-03-11T10:26:22.568948189Z,0
c03,009,37e,p1,NA,NA,0
c03,010,38c,p1,2022-03-11T10:11:42.564378458Z,2022-03-11T10:14:38.398604353Z,0
c03,010,38c,p1,2022-03-11T10:29:02.569873274Z,2022-03-11T10:31:42.404049078Z,0
c03,011,3c4,p2,2022-03-11T10:08:36.563465985Z,2022-03-11T10:08:57.563591732Z,0
c03,012,4eb,p2,2022-03-11T10:13:07.898165232Z,2022-03-11T10:15:06.232144580Z,1
c03,012,4eb,p2,2022-03-11T10:18:19.733117655Z,2022-03-11T10:18:54.066694947Z,1
c03,013,567,p1,2022-03-11T10:09:39.230873541Z,2022-03-11T10:11:48.397789450Z,0
c03,014,5d8,p2,2022-03-11T10:34:22.404874613Z,2022-03-11T10:36:37.406029028Z,0
c03,014,5d8,p2,2022-03-11T10:42:04.907309726Z,2022-03-11T10:43:28.907798777Z,0
c03,014,5d8,p2,2022-03-11T10:45:59.075254102Z,2022-03-11T10:47:03.908935957Z,0
c03,015,68c,p1,2022-03-11T10:12:26.897961826Z,2022-03-11T10:12:45.397981510Z,0
c03,015,68c,p1,2022-03-11T10:27:32.569407742Z,2022-03-11T10:27:41.402663419Z,0
c03,015,68c,p1,2022-03-11T10:30:44.403712864Z,2022-03-11T10:33:14.737868583Z,0
c03,016,699,p2,2022-03-11T10:46:31.409200803Z,2022-03-11T10:47:15.408996654Z,0
c03,016,699,p2,2022-03-11T10:47:45.742901373Z,2022-03-11T10:50:09.076990057Z,0
c03,017,7d3,p2,2022-03-11T10:35:34.071952301Z,2022-03-11T10:36:59.738954110Z,0
c03,018,815,p1,2022-03-11T10:10:33.730699303Z,2022-03-11T10:11:45.064397286Z,0
c03,018,815,p1,2022-03-11T10:12:59.898110887Z,2022-03-11T10:15:18.065509523Z,0
c03,018,815,p1,2022-03-11T10:25:11.735792001Z,2022-03-11T10:25:19.735308122Z,0
c04,001,01e,p1,2022-03-12T10:18:10.157858376Z,2022-03-12T10:18:15.491200833Z,0
c04,001,01e,p1,2022-03-12T10:30:28.328516578Z,2022-03-12T10:33:26.496672301Z,0
c04,002,19f,p1,NA,NA,0
c04,003,2af,p1,2022-03-12T10:20:46.491874614Z,2022-03-12T10:21:02.158681481Z,0
c04,003,2af,p1,2022-03-12T10:53:16.169134580Z,2022-03-12T10:53:42.002578689Z,0
c04,004,2bd,p1,2022-03-12T10:07:51.488087592Z,2022-03-12T10:07:54.321409560Z,0
c04,004,2bd,p1,2022-03-12T10:23:55.159498007Z,2022-03-12T10:24:21.326427333Z,0
c04,005,36f,p2,2022-03-12T10:08:10.988193906Z,2022-03-12T10:08:20.821571403Z,0
c04,005,36f,p2,2022-03-12T10:08:26.654939503Z,2022-03-12T10:09:42.821966781Z,0
c04,005,36f,p2,2022-03-12T10:12:40.822855413Z,2022-03-12T10:16:02.990508516Z,0
c04,006,426,p2,2022-03-12T10:33:00.996079906Z,2022-03-12T10:35:33.996901788Z,0
c04,006,426,p2,2022-03-12T10:36:53.663990079Z,2022-03-12T10:37:33.164211660Z,0
c04,006,426,p2,2022-03-12T10:37:53.830866586Z,2022-03-12T10:38:22.164922213Z,0
c04,007,45a,p1,NA,NA,0
c04,008,4d6,p1,2022-03-12T10:08:17.821513250Z,2022-03-12T10:10:52.988989026Z,0
c04,009,528,p1,2022-03-12T10:18:18.157824655Z,2022-03-12T10:22:16.659054189Z,0
c04,010,538,p2,2022-03-12T10:07:37.988015796Z,2022-03-12T10:07:46.154706791Z,0
c04,011,56a,p2,NA,NA,0
c04,012,645,p2,2022-03-12T10:10:34.322234963Z,2022-03-12T10:11:32.822519404Z,0
c04,012,645,p2,2022-03-12T10:12:55.656281336Z,2022-03-12T10:13:06.822976457Z,0
c04,012,645,p2,2022-03-12T10:13:30.323089572Z,2022-03-12T10:13:41.823136740Z,0
c04,012,645,p2,2022-03-12T10:13:48.489800267Z,2022-03-12T10:14:42.323451608Z,0
c04,012,645,p2,2022-03-12T10:17:51.657762972Z,2022-03-12T10:19:08.825259879Z,0
c04,012,645,p2,2022-03-12T10:27:48.161002295Z,2022-03-12T10:29:27.828226413Z,0
c04,013,646,p2,NA,NA,0
c04,014,656,p2,2022-03-12T10:09:37.321952289Z,2022-03-12T10:09:41.655298489Z,0
c04,015,65d,p2,2022-03-12T10:24:31.493158279Z,2022-03-12T10:26:50.493976107Z,0
c04,015,65d,p2,2022-03-12T10:54:44.169507129Z,2022-03-12T10:55:28.836412346Z,0
c04,016,6db,p1,2022-03-12T10:20:39.325660700Z,2022-03-12T10:21:40.325508231Z,0
c04,016,6db,p1,2022-03-12T10:23:30.159442092Z,2022-03-12T10:24:24.659914991Z,0
c04,017,740,p2,NA,NA,0
c04,018,7dc,p1,NA,NA,0
c06,001,041,p2,NA,NA,0
