ID,Colony,TagID,Container,Position,PosID,#ScanTime,Comment,
4476,c31,0x50b,Box_47,D08,Box_47_D08,2024-03-26T14:49:51Z,,
4477,c31,0x82d,Box_47,E08,Box_47_E08,2024-03-26T14:50:46Z,,
4478,c31,0x47d,Box_47,F08,Box_47_F08,2024-03-26T14:50:58Z,,
4479,c31,0x0e6,Box_47,G08,Box_47_G08,2024-03-26T14:51:12Z,,
4480,c31,0x2e1,Box_47,H08,Box_47_H08,2024-03-26T14:51:28Z,,
4481,c31,0x1b2,Box_47,A09,Box_47_A09,2024-03-26T14:52:03Z,,
4482,c31,0x09b,Box_47,B09,Box_47_B09,2024-03-26T14:52:45Z,,
4483,c31,0x66e,Box_47,C09,Box_47_C09,2024-03-26T14:53:02Z,,
4484,c31,0x826,Box_47,D09,Box_47_D09,2024-03-26T14:53:17Z,,
4485,c31,0x195,Box_47,E09,Box_47_E09,2024-03-26T14:53:42Z,,
4486,c31,0x284,Box_47,F09,Box_47_F09,2024-03-26T14:53:55Z,,
4487,c31,0x189,Box_47,G09,Box_47_G09,2024-03-26T14:54:13Z,,
4488,c31,0x796,Box_47,H09,Box_47_H09,2024-03-26T14:54:30Z,,
4489,c31,0x55f,Box_47,A10,Box_47_A10,2024-03-26T14:55:01Z,,
4490,c31,0x611,Box_47,B10,Box_47_B10,2024-03-26T14:55:18Z,,
4491,c31,0x7e9,Box_47,C10,Box_47_C10,2024-03-26T14:55:33Z,,
4492,c31,0x67f,Box_47,D10,Box_47_D10,2024-03-26T14:55:44Z,,
4493,c31,0x480,Box_47,E10,Box_47_E10,2024-03-26T14:56:20Z,,
4494,c31,0x83b,Box_47,F10,Box_47_F10,2024-03-26T14:56:34Z,,
4495,c31,0x0f7,Box_47,G10,Box_47_G10,2024-03-26T14:56:56Z,,
4496,c31,0x1c1,Box_47,H10,Box_47_H10,2024-03-26T14:57:12Z,,
4497,c31,0x306,Box_47,A11,Box_47_A11,2024-03-26T14:57:44Z,,
4498,c31,0x258,Box_47,B11,Box_47_B11,2024-03-26T14:57:56Z,,
4499,c31,0x0ec,Box_47,C11,Box_47_C11,2024-03-26T14:58:06Z,,
4500,c31,0x075,Box_47,D11,Box_47_D11,2024-03-26T14:58:16Z,,
4501,c31,0x677,Box_47,E11,Box_47_E11,2024-03-26T14:58:40Z,,
4502,c31,0x7ce,Box_47,F11,Box_47_F11,2024-03-26T14:58:58Z,,
4503,c31,0x537,Box_47,G11,Box_47_G11,2024-03-26T14:59:22Z,,
4504,c31,0x411,Box_47,H11,Box_47_H11,2024-03-26T14:59:38Z,,
4505,c31,0x134,Box_47,A12,Box_47_A12,2024-03-26T15:00:03Z,,
4506,c31,0x24c,Box_47,B12,Box_47_B12,2024-03-26T15:00:18Z,,
4507,c31,0x324,Box_47,C12,Box_47_C12,2024-03-26T15:00:36Z,,
4508,c31,0x82e,Box_47,D12,Box_47_D12,2024-03-26T15:01:01Z,,
4509,c31,0x66b,Box_47,E12,Box_47_E12,2024-03-26T15:01:28Z,,
4510,c31,0x647,Box_47,F12,Box_47_F12,2024-03-26T15:01:57Z,,
4511,c31,0x625,Box_47,G12,Box_47_G12,2024-03-26T15:02:11Z,,
4512,c31,0x531,Box_47,H12,Box_47_H12,2024-03-26T15:02:25Z,,
4513,c31,0x650,Box_48,A01,Box_48_A01,2024-03-26T15:06:33Z,,
4514,c31,0x29a,Box_48,B01,Box_48_B01,2024-03-26T15:06:52Z,,
4515,c31,0x2ae,Box_48,C01,Box_48_C01,2024-03-26T15:07:11Z,,
4516,c31,0x2aa,Box_48,D01,Box_48_D01,2024-03-26T15:07:24Z,,
4517,c31,0x4c0,Box_48,E01,Box_48_E01,2024-03-26T15:08:13Z,,
4518,c31,0x31f,Box_48,F01,Box_48_F01,2024-03-26T15:08:29Z,,
4519,c31,0x71e,Box_48,G01,Box_48_G01,2024-03-26T15:09:05Z,,
4520,c32,0x000,Box_48,H01,Box_48_H01,2024-03-26T15:58:44Z,,
4521,c32,0x243,Box_48,A02,Box_48_A02,2024-03-26T15:59:26Z,,
4522,c32,0x3ee,Box_48,B02,Box_48_B02,2024-03-26T15:59:44Z,,
4523,c32,0x348,Box_48,C02,Box_48_C02,2024-03-26T15:59:58Z,,
4524,c32,0x25a,Box_48,D02,Box_48_D02,2024-03-26T16:00:11Z,,
4525,c32,0x006,Box_48,E02,Box_48_E02,2024-03-26T16:00:32Z,,
4526,c32,0x559,Box_48,F02,Box_48_F02,2024-03-26T16:00:43Z,,
4527,c32,0x098,Box_48,G02,Box_48_G02,2024-03-26T16:01:05Z,,
4528,c32,0x719,Box_48,H02,Box_48_H02,2024-03-26T16:01:19Z,,
4529,c32,0x0c7,Box_48,A03,Box_48_A03,2024-03-26T16:01:44Z,,
4530,c32,0x0f8,Box_48,B03,Box_48_B03,2024-03-26T16:02:00Z,,
4531,c32,0x2b4,Box_48,C03,Box_48_C03,2024-03-26T16:02:19Z,,
4532,c32,0x5be,Box_48,D03,Box_48_D03,2024-03-26T16:02:36Z,,
4533,c32,0x6aa,Box_48,E03,Box_48_E03,2024-03-26T16:03:05Z,,
4534,c32,0x41b,Box_48,F03,Box_48_F03,2024-03-26T16:03:20Z,,
4535,c32,0x497,Box_48,G03,Box_48_G03,2024-03-26T16:03:40Z,,
4536,c32,0x3c9,Box_48,H03,Box_48_H03,2024-03-26T16:03:57Z,,
4537,c32,0x3ed,Box_48,A04,Box_48_A04,2024-03-26T16:05:48Z,,
4538,c32,0x246,Box_48,B04,Box_48_B04,2024-03-26T16:06:00Z,,
4539,c32,0x3cf,Box_48,C04,Box_48_C04,2024-03-26T16:06:12Z,,
4540,c32,0x424,Box_48,D04,Box_48_D04,2024-03-26T16:06:23Z,,
4541,c32,0x5e5,Box_48,E04,Box_48_E04,2024-03-26T16:06:51Z,,
4542,c32,0x35e,Box_48,F04,Box_48_F04,2024-03-26T16:07:06Z,,
4543,c32,0x188,Box_48,G04,Box_48_G04,2024-03-26T16:07:23Z,,
4544,c32,0x31a,Box_48,H04,Box_48_H04,2024-03-26T16:07:35Z,,
4545,c32,0x483,Box_48,A05,Box_48_A05,2024-03-26T16:08:06Z,,
4546,c32,0x588,Box_48,B05,Box_48_B05,2024-03-26T16:08:20Z,,
4547,c32,0x0b1,Box_48,C05,Box_48_C05,2024-03-26T16:08:33Z,,
4548,c32,0x80b,Box_48,D05,Box_48_D05,2024-03-26T16:08:48Z,,
4549,c32,0x057,Box_48,E05,Box_48_E05,2024-03-26T16:09:03Z,,
4550,c32,0x37b,Box_48,F05,Box_48_F05,2024-03-26T16:09:18Z,,
4551,c32,0x7a9,Box_48,G05,Box_48_G05,2024-03-26T16:09:44Z,,
4552,c32,0x529,Box_48,H05,Box_48_H05,2024-03-26T16:10:01Z,,
4553,c32,0x3d7,Box_48,A06,Box_48_A06,2024-03-26T16:10:43Z,,
4554,c32,0x7dc,Box_48,B06,Box_48_B06,2024-03-26T16:11:00Z,,
4555,c32,0x07a,Box_48,C06,Box_48_C06,2024-03-26T16:11:11Z,,
4556,c32,0x144,Box_48,D06,Box_48_D06,2024-03-26T16:11:29Z,,
4557,c32,0x829,Box_48,E06,Box_48_E06,2024-03-26T16:11:48Z,,
4558,c32,0x10b,Box_48,F06,Box_48_F06,2024-03-26T16:12:06Z,,
4559,c32,0x5e4,Box_48,G06,Box_48_G06,2024-03-26T16:12:24Z,,
4560,c32,0x1f3,Box_48,H06,Box_48_H06,2024-03-26T16:12:37Z,,
4561,c32,0x1f9,Box_48,A07,Box_48_A07,2024-03-26T16:13:10Z,,
4562,c32,0x07d,Box_48,B07,Box_48_B07,2024-03-26T16:13:28Z,,
4563,c32,0x309,Box_48,C07,Box_48_C07,2024-03-26T16:13:41Z,,
4564,c32,0x620,Box_48,D07,Box_48_D07,2024-03-26T16:13:58Z,,
4565,c32,0x3db,Box_48,E07,Box_48_E07,2024-03-26T16:14:25Z,,
4566,c32,0x180,Box_48,F07,Box_48_F07,2024-03-26T16:14:41Z,,
4567,c32,0x835,Box_48,G07,Box_48_G07,2024-03-26T16:15:07Z,,
4568,c32,0x4c6,Box_48,H07,Box_48_H07,2024-03-26T16:15:27Z,,
4569,c32,0x118,Box_48,A08,Box_48_A08,2024-03-26T16:16:08Z,,
4570,c32,0x758,Box_48,B08,Box_48_B08,2024-03-26T16:16:42Z,,
4571,c32,0x138,Box_48,C08,Box_48_C08,2024-03-26T16:17:00Z,,
4572,c32,0x53b,Box_48,D08,Box_48_D08,2024-03-26T16:17:14Z,,
4573,c32,0x022,Box_48,E08,Box_48_E08,2024-03-26T16:17:30Z,,
4574,c32,0x338,Box_48,F08,Box_48_F08,2024-03-26T16:17:49Z,,
4575,c32,0x2c6,Box_48,G08,Box_48_G08,2024-03-26T16:18:00Z,,
4576,c32,0x04e,Box_48,H08,Box_48_H08,2024-03-26T16:18:08Z,,
4577,c32,0x091,Box_48,A09,Box_48_A09,2024-03-26T16:18:45Z,,
4578,c32,0x836,Box_48,B09,Box_48_B09,2024-03-26T16:19:03Z,,
4579,c32,0x5e6,Box_48,C09,Box_48_C09,2024-03-26T16:19:14Z,,
4580,c32,0x7df,Box_48,D09,Box_48_D09,2024-03-26T16:19:28Z,,
4581,c32,0x69c,Box_48,E09,Box_48_E09,2024-03-26T16:20:10Z,,
4582,c32,0x01f,Box_48,F09,Box_48_F09,2024-03-26T16:20:20Z,,
